,date,weekday,holiday
495,6/2/62,segunda-feira,Carnaval
496,7/2/62,terça-feira,Carnaval
497,24/3/62,sexta-feira,Paixão de Cristo
498,21/4/62,sexta-feira,Tiradentes
499,1/5/62,segunda-feira,Dia do Trabalho
500,25/5/62,quinta-feira,Corpus Christi
501,7/9/62,quinta-feira,Independência do Brasil
502,12/10/62,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
503,2/11/62,quinta-feira,Finados
504,15/11/62,quarta-feira,Proclamação da República
505,20/11/62,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
506,25/12/62,segunda-feira,Natal
507,1/1/63,segunda-feira,Confraternização Universal
508,26/2/63,segunda-feira,Carnaval
509,27/2/63,terça-feira,Carnaval
510,13/4/63,sexta-feira,Paixão de Cristo
511,21/4/63,sábado,Tiradentes
512,1/5/63,terça-feira,Dia do Trabalho
513,14/6/63,quinta-feira,Corpus Christi
514,7/9/63,sexta-feira,Independência do Brasil
515,12/10/63,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
516,2/11/63,sexta-feira,Finados
517,15/11/63,quinta-feira,Proclamação da República
518,20/11/63,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
519,25/12/63,terça-feira,Natal
520,1/1/64,terça-feira,Confraternização Universal
521,18/2/64,segunda-feira,Carnaval
522,19/2/64,terça-feira,Carnaval
523,4/4/64,sexta-feira,Paixão de Cristo
524,21/4/64,segunda-feira,Tiradentes
525,1/5/64,quinta-feira,Dia do Trabalho
526,5/6/64,quinta-feira,Corpus Christi
527,7/9/64,domingo,Independência do Brasil
528,12/10/64,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
529,2/11/64,domingo,Finados
530,15/11/64,sábado,Proclamação da República
531,20/11/64,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
532,25/12/64,quinta-feira,Natal
533,1/1/65,quinta-feira,Confraternização Universal
534,9/2/65,segunda-feira,Carnaval
535,10/2/65,terça-feira,Carnaval
536,27/3/65,sexta-feira,Paixão de Cristo
537,21/4/65,terça-feira,Tiradentes
538,1/5/65,sexta-feira,Dia do Trabalho
539,28/5/65,quinta-feira,Corpus Christi
540,7/9/65,segunda-feira,Independência do Brasil
541,12/10/65,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
542,2/11/65,segunda-feira,Finados
543,15/11/65,domingo,Proclamação da República
544,20/11/65,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
545,25/12/65,sexta-feira,Natal
546,1/1/66,sexta-feira,Confraternização Universal
547,22/2/66,segunda-feira,Carnaval
548,23/2/66,terça-feira,Carnaval
549,9/4/66,sexta-feira,Paixão de Cristo
550,21/4/66,quarta-feira,Tiradentes
551,1/5/66,sábado,Dia do Trabalho
552,10/6/66,quinta-feira,Corpus Christi
553,7/9/66,terça-feira,Independência do Brasil
554,12/10/66,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
555,2/11/66,terça-feira,Finados
556,15/11/66,segunda-feira,Proclamação da República
557,20/11/66,sábado,Dia Nacional de Zumbi e da Consciência Negra
558,25/12/66,sábado,Natal
559,1/1/67,sábado,Confraternização Universal
560,14/2/67,segunda-feira,Carnaval
561,15/2/67,terça-feira,Carnaval
562,1/4/67,sexta-feira,Paixão de Cristo
563,21/4/67,quinta-feira,Tiradentes
564,1/5/67,domingo,Dia do Trabalho
565,2/6/67,quinta-feira,Corpus Christi
566,7/9/67,quarta-feira,Independência do Brasil
567,12/10/67,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
568,2/11/67,quarta-feira,Finados
569,15/11/67,terça-feira,Proclamação da República
570,20/11/67,domingo,Dia Nacional de Zumbi e da Consciência Negra
571,25/12/67,domingo,Natal
572,1/1/68,domingo,Confraternização Universal
573,5/3/68,segunda-feira,Carnaval
574,6/3/68,terça-feira,Carnaval
575,20/4/68,sexta-feira,Paixão de Cristo
576,21/4/68,sábado,Tiradentes
577,1/5/68,terça-feira,Dia do Trabalho
578,21/6/68,quinta-feira,Corpus Christi
579,7/9/68,sexta-feira,Independência do Brasil
580,12/10/68,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
581,2/11/68,sexta-feira,Finados
582,15/11/68,quinta-feira,Proclamação da República
583,20/11/68,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
584,25/12/68,terça-feira,Natal
585,1/1/69,terça-feira,Confraternização Universal
586,25/2/69,segunda-feira,Carnaval
587,26/2/69,terça-feira,Carnaval
588,12/4/69,sexta-feira,Paixão de Cristo
589,21/4/69,domingo,Tiradentes
590,1/5/69,quarta-feira,Dia do Trabalho
591,13/6/69,quinta-feira,Corpus Christi
592,7/9/69,sábado,Independência do Brasil
593,12/10/69,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
594,2/11/69,sábado,Finados
595,15/11/69,sexta-feira,Proclamação da República
596,20/11/69,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
597,25/12/69,quarta-feira,Natal
598,1/1/70,quarta-feira,Confraternização Universal
599,10/2/70,segunda-feira,Carnaval
600,11/2/70,terça-feira,Carnaval
601,28/3/70,sexta-feira,Paixão de Cristo
602,21/4/70,segunda-feira,Tiradentes
603,1/5/70,quinta-feira,Dia do Trabalho
604,29/5/70,quinta-feira,Corpus Christi
605,7/9/70,domingo,Independência do Brasil
606,12/10/70,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
607,2/11/70,domingo,Finados
608,15/11/70,sábado,Proclamação da República
609,20/11/70,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
610,25/12/70,quinta-feira,Natal
611,1/1/71,quinta-feira,Confraternização Universal
612,2/3/71,segunda-feira,Carnaval
613,3/3/71,terça-feira,Carnaval
614,17/4/71,sexta-feira,Paixão de Cristo
615,21/4/71,terça-feira,Tiradentes
616,1/5/71,sexta-feira,Dia do Trabalho
617,18/6/71,quinta-feira,Corpus Christi
618,7/9/71,segunda-feira,Independência do Brasil
619,12/10/71,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
620,2/11/71,segunda-feira,Finados
621,15/11/71,domingo,Proclamação da República
622,20/11/71,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
623,25/12/71,sexta-feira,Natal
624,1/1/72,sexta-feira,Confraternização Universal
625,22/2/72,segunda-feira,Carnaval
626,23/2/72,terça-feira,Carnaval
627,8/4/72,sexta-feira,Paixão de Cristo
628,21/4/72,quinta-feira,Tiradentes
629,1/5/72,domingo,Dia do Trabalho
630,9/6/72,quinta-feira,Corpus Christi
631,7/9/72,quarta-feira,Independência do Brasil
632,12/10/72,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
633,2/11/72,quarta-feira,Finados
634,15/11/72,terça-feira,Proclamação da República
635,20/11/72,domingo,Dia Nacional de Zumbi e da Consciência Negra
636,25/12/72,domingo,Natal
637,1/1/73,domingo,Confraternização Universal
638,6/2/73,segunda-feira,Carnaval
639,7/2/73,terça-feira,Carnaval
640,24/3/73,sexta-feira,Paixão de Cristo
641,21/4/73,sexta-feira,Tiradentes
642,1/5/73,segunda-feira,Dia do Trabalho
643,25/5/73,quinta-feira,Corpus Christi
644,7/9/73,quinta-feira,Independência do Brasil
645,12/10/73,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
646,2/11/73,quinta-feira,Finados
647,15/11/73,quarta-feira,Proclamação da República
648,20/11/73,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
649,25/12/73,segunda-feira,Natal
650,1/1/74,segunda-feira,Confraternização Universal
651,26/2/74,segunda-feira,Carnaval
652,27/2/74,terça-feira,Carnaval
653,13/4/74,sexta-feira,Paixão de Cristo
654,21/4/74,sábado,Tiradentes
655,1/5/74,terça-feira,Dia do Trabalho
656,14/6/74,quinta-feira,Corpus Christi
657,7/9/74,sexta-feira,Independência do Brasil
658,12/10/74,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
659,2/11/74,sexta-feira,Finados
660,15/11/74,quinta-feira,Proclamação da República
661,20/11/74,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
662,25/12/74,terça-feira,Natal
663,1/1/75,terça-feira,Confraternização Universal
664,18/2/75,segunda-feira,Carnaval
665,19/2/75,terça-feira,Carnaval
666,5/4/75,sexta-feira,Paixão de Cristo
667,21/4/75,domingo,Tiradentes
668,1/5/75,quarta-feira,Dia do Trabalho
669,6/6/75,quinta-feira,Corpus Christi
670,7/9/75,sábado,Independência do Brasil
671,12/10/75,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
672,2/11/75,sábado,Finados
673,15/11/75,sexta-feira,Proclamação da República
674,20/11/75,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
675,25/12/75,quarta-feira,Natal
676,1/1/76,quarta-feira,Confraternização Universal
677,2/3/76,segunda-feira,Carnaval
678,3/3/76,terça-feira,Carnaval
679,17/4/76,sexta-feira,Paixão de Cristo
680,21/4/76,terça-feira,Tiradentes
681,1/5/76,sexta-feira,Dia do Trabalho
682,18/6/76,quinta-feira,Corpus Christi
683,7/9/76,segunda-feira,Independência do Brasil
684,12/10/76,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
685,2/11/76,segunda-feira,Finados
686,15/11/76,domingo,Proclamação da República
687,20/11/76,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
688,25/12/76,sexta-feira,Natal
689,1/1/77,sexta-feira,Confraternização Universal
690,22/2/77,segunda-feira,Carnaval
691,23/2/77,terça-feira,Carnaval
692,9/4/77,sexta-feira,Paixão de Cristo
693,21/4/77,quarta-feira,Tiradentes
694,1/5/77,sábado,Dia do Trabalho
695,10/6/77,quinta-feira,Corpus Christi
696,7/9/77,terça-feira,Independência do Brasil
697,12/10/77,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
698,2/11/77,terça-feira,Finados
699,15/11/77,segunda-feira,Proclamação da República
700,20/11/77,sábado,Dia Nacional de Zumbi e da Consciência Negra
701,25/12/77,sábado,Natal
702,1/1/78,sábado,Confraternização Universal
703,14/2/78,segunda-feira,Carnaval
704,15/2/78,terça-feira,Carnaval
705,1/4/78,sexta-feira,Paixão de Cristo
706,21/4/78,quinta-feira,Tiradentes
707,1/5/78,domingo,Dia do Trabalho
708,2/6/78,quinta-feira,Corpus Christi
709,7/9/78,quarta-feira,Independência do Brasil
710,12/10/78,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
711,2/11/78,quarta-feira,Finados
712,15/11/78,terça-feira,Proclamação da República
713,20/11/78,domingo,Dia Nacional de Zumbi e da Consciência Negra
714,25/12/78,domingo,Natal
715,1/1/79,domingo,Confraternização Universal
716,6/3/79,segunda-feira,Carnaval
717,7/3/79,terça-feira,Carnaval
718,21/4/79,sexta-feira,Paixão de Cristo
719,21/4/79,sexta-feira,Tiradentes
720,1/5/79,segunda-feira,Dia do Trabalho
721,22/6/79,quinta-feira,Corpus Christi
722,7/9/79,quinta-feira,Independência do Brasil
723,12/10/79,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
724,2/11/79,quinta-feira,Finados
725,15/11/79,quarta-feira,Proclamação da República
726,20/11/79,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
727,25/12/79,segunda-feira,Natal
728,1/1/80,segunda-feira,Confraternização Universal
729,19/2/80,segunda-feira,Carnaval
730,20/2/80,terça-feira,Carnaval
731,5/4/80,sexta-feira,Paixão de Cristo
732,21/4/80,domingo,Tiradentes
733,1/5/80,quarta-feira,Dia do Trabalho
734,6/6/80,quinta-feira,Corpus Christi
735,7/9/80,sábado,Independência do Brasil
736,12/10/80,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
737,2/11/80,sábado,Finados
738,15/11/80,sexta-feira,Proclamação da República
739,20/11/80,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
740,25/12/80,quarta-feira,Natal
741,1/1/81,quarta-feira,Confraternização Universal
742,10/2/81,segunda-feira,Carnaval
743,11/2/81,terça-feira,Carnaval
744,28/3/81,sexta-feira,Paixão de Cristo
745,21/4/81,segunda-feira,Tiradentes
746,1/5/81,quinta-feira,Dia do Trabalho
747,29/5/81,quinta-feira,Corpus Christi
748,7/9/81,domingo,Independência do Brasil
749,12/10/81,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
750,2/11/81,domingo,Finados
751,15/11/81,sábado,Proclamação da República
752,20/11/81,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
753,25/12/81,quinta-feira,Natal
754,1/1/82,quinta-feira,Confraternização Universal
755,2/3/82,segunda-feira,Carnaval
756,3/3/82,terça-feira,Carnaval
757,17/4/82,sexta-feira,Paixão de Cristo
758,21/4/82,terça-feira,Tiradentes
759,1/5/82,sexta-feira,Dia do Trabalho
760,18/6/82,quinta-feira,Corpus Christi
761,7/9/82,segunda-feira,Independência do Brasil
762,12/10/82,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
763,2/11/82,segunda-feira,Finados
764,15/11/82,domingo,Proclamação da República
765,20/11/82,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
766,25/12/82,sexta-feira,Natal
767,1/1/83,sexta-feira,Confraternização Universal
768,15/2/83,segunda-feira,Carnaval
769,16/2/83,terça-feira,Carnaval
770,2/4/83,sexta-feira,Paixão de Cristo
771,21/4/83,quarta-feira,Tiradentes
772,1/5/83,sábado,Dia do Trabalho
773,3/6/83,quinta-feira,Corpus Christi
774,7/9/83,terça-feira,Independência do Brasil
775,12/10/83,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
776,2/11/83,terça-feira,Finados
777,15/11/83,segunda-feira,Proclamação da República
778,20/11/83,sábado,Dia Nacional de Zumbi e da Consciência Negra
779,25/12/83,sábado,Natal
780,1/1/84,sábado,Confraternização Universal
781,7/2/84,segunda-feira,Carnaval
782,8/2/84,terça-feira,Carnaval
783,24/3/84,sexta-feira,Paixão de Cristo
784,21/4/84,sexta-feira,Tiradentes
785,1/5/84,segunda-feira,Dia do Trabalho
786,25/5/84,quinta-feira,Corpus Christi
787,7/9/84,quinta-feira,Independência do Brasil
788,12/10/84,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
789,2/11/84,quinta-feira,Finados
790,15/11/84,quarta-feira,Proclamação da República
791,20/11/84,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
792,25/12/84,segunda-feira,Natal
793,1/1/85,segunda-feira,Confraternização Universal
794,26/2/85,segunda-feira,Carnaval
795,27/2/85,terça-feira,Carnaval
796,13/4/85,sexta-feira,Paixão de Cristo
797,21/4/85,sábado,Tiradentes
798,1/5/85,terça-feira,Dia do Trabalho
799,14/6/85,quinta-feira,Corpus Christi
800,7/9/85,sexta-feira,Independência do Brasil
801,12/10/85,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
802,2/11/85,sexta-feira,Finados
803,15/11/85,quinta-feira,Proclamação da República
804,20/11/85,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
805,25/12/85,terça-feira,Natal
806,1/1/86,terça-feira,Confraternização Universal
807,11/2/86,segunda-feira,Carnaval
808,12/2/86,terça-feira,Carnaval
809,29/3/86,sexta-feira,Paixão de Cristo
810,21/4/86,domingo,Tiradentes
811,1/5/86,quarta-feira,Dia do Trabalho
812,30/5/86,quinta-feira,Corpus Christi
813,7/9/86,sábado,Independência do Brasil
814,12/10/86,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
815,2/11/86,sábado,Finados
816,15/11/86,sexta-feira,Proclamação da República
817,20/11/86,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
818,25/12/86,quarta-feira,Natal
819,1/1/87,quarta-feira,Confraternização Universal
820,3/3/87,segunda-feira,Carnaval
821,4/3/87,terça-feira,Carnaval
822,18/4/87,sexta-feira,Paixão de Cristo
823,21/4/87,segunda-feira,Tiradentes
824,1/5/87,quinta-feira,Dia do Trabalho
825,19/6/87,quinta-feira,Corpus Christi
826,7/9/87,domingo,Independência do Brasil
827,12/10/87,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
828,2/11/87,domingo,Finados
829,15/11/87,sábado,Proclamação da República
830,20/11/87,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
831,25/12/87,quinta-feira,Natal
832,1/1/88,quinta-feira,Confraternização Universal
833,23/2/88,segunda-feira,Carnaval
834,24/2/88,terça-feira,Carnaval
835,9/4/88,sexta-feira,Paixão de Cristo
836,21/4/88,quarta-feira,Tiradentes
837,1/5/88,sábado,Dia do Trabalho
838,10/6/88,quinta-feira,Corpus Christi
839,7/9/88,terça-feira,Independência do Brasil
840,12/10/88,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
841,2/11/88,terça-feira,Finados
842,15/11/88,segunda-feira,Proclamação da República
843,20/11/88,sábado,Dia Nacional de Zumbi e da Consciência Negra
844,25/12/88,sábado,Natal
845,1/1/89,sábado,Confraternização Universal
846,14/2/89,segunda-feira,Carnaval
847,15/2/89,terça-feira,Carnaval
848,1/4/89,sexta-feira,Paixão de Cristo
849,21/4/89,quinta-feira,Tiradentes
850,1/5/89,domingo,Dia do Trabalho
851,2/6/89,quinta-feira,Corpus Christi
852,7/9/89,quarta-feira,Independência do Brasil
853,12/10/89,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
854,2/11/89,quarta-feira,Finados
855,15/11/89,terça-feira,Proclamação da República
856,20/11/89,domingo,Dia Nacional de Zumbi e da Consciência Negra
857,25/12/89,domingo,Natal
858,1/1/90,domingo,Confraternização Universal
859,27/2/90,segunda-feira,Carnaval
860,28/2/90,terça-feira,Carnaval
861,14/4/90,sexta-feira,Paixão de Cristo
862,21/4/90,sexta-feira,Tiradentes
863,1/5/90,segunda-feira,Dia do Trabalho
864,15/6/90,quinta-feira,Corpus Christi
865,7/9/90,quinta-feira,Independência do Brasil
866,12/10/90,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
867,2/11/90,quinta-feira,Finados
868,15/11/90,quarta-feira,Proclamação da República
869,20/11/90,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
870,25/12/90,segunda-feira,Natal
871,1/1/91,segunda-feira,Confraternização Universal
872,19/2/91,segunda-feira,Carnaval
873,20/2/91,terça-feira,Carnaval
874,6/4/91,sexta-feira,Paixão de Cristo
875,21/4/91,sábado,Tiradentes
876,1/5/91,terça-feira,Dia do Trabalho
877,7/6/91,quinta-feira,Corpus Christi
878,7/9/91,sexta-feira,Independência do Brasil
879,12/10/91,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
880,2/11/91,sexta-feira,Finados
881,15/11/91,quinta-feira,Proclamação da República
882,20/11/91,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
883,25/12/91,terça-feira,Natal
884,1/1/92,terça-feira,Confraternização Universal
885,11/2/92,segunda-feira,Carnaval
886,12/2/92,terça-feira,Carnaval
887,28/3/92,sexta-feira,Paixão de Cristo
888,21/4/92,segunda-feira,Tiradentes
889,1/5/92,quinta-feira,Dia do Trabalho
890,29/5/92,quinta-feira,Corpus Christi
891,7/9/92,domingo,Independência do Brasil
892,12/10/92,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
893,2/11/92,domingo,Finados
894,15/11/92,sábado,Proclamação da República
895,20/11/92,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
896,25/12/92,quinta-feira,Natal
897,1/1/93,quinta-feira,Confraternização Universal
898,23/2/93,segunda-feira,Carnaval
899,24/2/93,terça-feira,Carnaval
900,10/4/93,sexta-feira,Paixão de Cristo
901,21/4/93,terça-feira,Tiradentes
902,1/5/93,sexta-feira,Dia do Trabalho
903,11/6/93,quinta-feira,Corpus Christi
904,7/9/93,segunda-feira,Independência do Brasil
905,12/10/93,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
906,2/11/93,segunda-feira,Finados
907,15/11/93,domingo,Proclamação da República
908,20/11/93,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
909,25/12/93,sexta-feira,Natal
910,1/1/94,sexta-feira,Confraternização Universal
911,15/2/94,segunda-feira,Carnaval
912,16/2/94,terça-feira,Carnaval
913,2/4/94,sexta-feira,Paixão de Cristo
914,21/4/94,quarta-feira,Tiradentes
915,1/5/94,sábado,Dia do Trabalho
916,3/6/94,quinta-feira,Corpus Christi
917,7/9/94,terça-feira,Independência do Brasil
918,12/10/94,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
919,2/11/94,terça-feira,Finados
920,15/11/94,segunda-feira,Proclamação da República
921,20/11/94,sábado,Dia Nacional de Zumbi e da Consciência Negra
922,25/12/94,sábado,Natal
923,1/1/95,sábado,Confraternização Universal
924,7/3/95,segunda-feira,Carnaval
925,8/3/95,terça-feira,Carnaval
926,21/4/95,quinta-feira,Tiradentes
927,22/4/95,sexta-feira,Paixão de Cristo
928,1/5/95,domingo,Dia do Trabalho
929,23/6/95,quinta-feira,Corpus Christi
930,7/9/95,quarta-feira,Independência do Brasil
931,12/10/95,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
932,2/11/95,quarta-feira,Finados
933,15/11/95,terça-feira,Proclamação da República
934,20/11/95,domingo,Dia Nacional de Zumbi e da Consciência Negra
935,25/12/95,domingo,Natal
936,1/1/96,domingo,Confraternização Universal
937,27/2/96,segunda-feira,Carnaval
938,28/2/96,terça-feira,Carnaval
939,13/4/96,sexta-feira,Paixão de Cristo
940,21/4/96,sábado,Tiradentes
941,1/5/96,terça-feira,Dia do Trabalho
942,14/6/96,quinta-feira,Corpus Christi
943,7/9/96,sexta-feira,Independência do Brasil
944,12/10/96,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
945,2/11/96,sexta-feira,Finados
946,15/11/96,quinta-feira,Proclamação da República
947,20/11/96,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
948,25/12/96,terça-feira,Natal
949,1/1/97,terça-feira,Confraternização Universal
950,11/2/97,segunda-feira,Carnaval
951,12/2/97,terça-feira,Carnaval
952,29/3/97,sexta-feira,Paixão de Cristo
953,21/4/97,domingo,Tiradentes
954,1/5/97,quarta-feira,Dia do Trabalho
955,30/5/97,quinta-feira,Corpus Christi
956,7/9/97,sábado,Independência do Brasil
957,12/10/97,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
958,2/11/97,sábado,Finados
959,15/11/97,sexta-feira,Proclamação da República
960,20/11/97,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
961,25/12/97,quarta-feira,Natal
962,1/1/98,quarta-feira,Confraternização Universal
963,3/3/98,segunda-feira,Carnaval
964,4/3/98,terça-feira,Carnaval
965,18/4/98,sexta-feira,Paixão de Cristo
966,21/4/98,segunda-feira,Tiradentes
967,1/5/98,quinta-feira,Dia do Trabalho
968,19/6/98,quinta-feira,Corpus Christi
969,7/9/98,domingo,Independência do Brasil
970,12/10/98,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
971,2/11/98,domingo,Finados
972,15/11/98,sábado,Proclamação da República
973,20/11/98,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
974,25/12/98,quinta-feira,Natal
975,1/1/99,quinta-feira,Confraternização Universal
976,23/2/99,segunda-feira,Carnaval
977,24/2/99,terça-feira,Carnaval
978,10/4/99,sexta-feira,Paixão de Cristo
979,21/4/99,terça-feira,Tiradentes
980,1/5/99,sexta-feira,Dia do Trabalho
981,11/6/99,quinta-feira,Corpus Christi
982,7/9/99,quarta-feira,Independência do Brasil
983,12/10/99,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
984,2/11/99,segunda-feira,Finados
985,15/11/99,domingo,Proclamação da República
986,20/11/99,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
987,25/12/99,sexta-feira,Natal
